Site;Domain;Type;Principal country/territory
Google Search;google.com;Internet services and products;United States
YouTube;youtube.com;Video sharing;United States
Tmall;tmall.com;Internet-related services;China
Baidu;baidu.com;Internet-related services and products;China
Tencent QQ;qq.com;Portal;China
Sohu;sohu.com;Portal;China
Facebook;facebook.com;Social networking;United States
Taobao;taobao.com;Online shopping;China
Haosou;360.cn;Internet security and web search engine;China
Amazon;amazon.com;E-commerce and cloud computing;United States
Yahoo!;yahoo.com;Portal and Media;United States
Jingdong Mall;jd.com;Portal and media;China
Wikipedia;wikipedia.org;Encyclopedia;United States
Zoom Video Communications;zoom.us;Videotelephony;United States
Sina Weibo;weibo.com;Social networking;China
Sina Corp;sina.com.cn;Portal and instant messaging;China
Xinhua News Agency;xinhuanet.com;News;China
Windows Live;live.com;Software plus services;United States
Reddit;reddit.com;Social news and entertainment;United States
Netflix;netflix.com;Streaming TV and movies;United States
Microsoft;microsoft.com;Software and technology;United States
Panda TV;panda.tv;Livestreaming (primarily video games);China
Zhanqi TV;zhanqi.tv;Livestreaming (primarily video games);China
Okezone;okezone.com;Portal;Indonesia
Alipay;alipay.com;Payment system;China
Microsoft Office;office.com;Online office suite;United States
Instagram;instagram.com;Photo sharing and social media;United States
VK;vk.com;Social networking;Russia
CSDN;csdn.net;Technology news and Internet forum;China
Shopify;myshopify.com;E-commerce;Canada
Yahoo! Japan;yahoo.co.jp;Portal;Japan
Google Hong Kong;google.com.hk;Internet services and products;Hong Kong
Microsoft Online;msn.com;Software;United States
Bing;bing.com;Web search engine;United States
BongaCams;bongacams.com;Pornography;Netherlands
Twitch;twitch.tv;Livestreaming (primarily video games);United States
Naver;naver.com;Portal;South Korea
AliExpress;aliexpress.com;Online shopping;China
Adobe;adobe.com;Media software;United States
eBay;ebay.com;Online auction & shopping;United States
Amazon India;amazon.in;E-commerce;India
Twitter;twitter.com;Social networking;United States
Global Times;huanqiu.com;News;China
Amazon Japan;amazon.co.jp09:;E-commerce;Japan
Tianya Club;tianya.cn;Internet forum;China
YY.com;yy.com;Social networking;China
Apple Inc;apple.com;Technology company09:;United States
Chaturbate;chaturbate.com;Pornography;United States
Aparat;aparat.com;Video sharing;Iran
Yandex Search;yandex.ru;Web search engine;Russia
